store_nbr,store_name,latitude,longitude
535,ABILENE TX (S),32.410829,-99.781697
"1,518",INDIANAPOLIS IN,39.909193,-86.216465
"5,056","PRAIRIEVILLE, LA",30.330422,-90.986915
"2,092","OGDENSBURG, NY",44.708186,-75.456123
"6,467",TYLER (HWY 31) TX,32.345771,-95.265375
"3,480","LEBANON, VA",36.900374,-82.043985
"2,284","NAUGATUCK, CT",41.470601,-73.028002
"4,417","CAMBY, IN",39.642195,-86.328093
24,JACKSONVILLE AR,34.885192,-92.112673
"5,287","SPRING, TX",30.077386,-95.512681
"1,629",BRAZIL IN,39.531553,-87.100745
"5,216","AMARILLO, (NW) TX",35.212362,-101.907764
"3,443","RIVERDALE, NJ",40.992859,-74.312258
740,OZARK AL,31.445222,-85.650719
"1,437",GUYMON OK,36.705683,-101.487976
"4,348","ROARING SPRING, PA",40.370349,-78.432848
"2,853","LA PLATA, MD",38.550606,-76.982505
"1,001","PUEBLO, CO",38.232316,-104.664898
252,"DU QUOIN, IL.",37.997658,-89.238137
"3,484","PENSACOLA, FL",30.360589,-87.361789
507,LAWRENCEBURG KY,38.035206,-84.909041
"3,267",OMAHA (W),41.231476,-96.198972
"4,636","APPOMATTOX, VA",37.366026,-78.841242
"1,864","BROOKLYN PARK, MN",45.100677,-93.385227
"1,914","SAN BERNARDINO, CA",34.137744,-117.194853
"4,531","ROMEOVILLE, IL",41.607286,-88.126922
"4,323","KANKAKEE, IL",41.080522,-87.861081
"1,966",GENESEO NY,42.802569,-77.788392
"3,234","ROGERSVILLE, TN",36.396561,-83.019831
86,SPRINGFIELD MO,37.248879,-93.313943
69,FESTUS MO,38.212063,-90.387999
658,ROME GA,34.275438,-85.229852
"5,022",NEW ORLEANS (HRI) LA,29.925147,-90.070212
"2,024","TUNKHANNOCK, PA",41.523981,-75.947441
"1,199",AVON CO,39.628058,-106.500254
"5,038","PLAINFIELD, IL",41.653333,-88.207224
"2,724","PASADENA, TX",29.693336,-95.210405
"1,602",SPRINGFIELD IL,39.752139,-89.710342
"2,460","SEAFORD, DE",38.661045,-75.590379
"5,795","OXFORD, PA",39.796823,-75.979062
"2,180","DANVERS, MA",42.554441,-70.968233
462,ALVIN TX,29.421683,-95.230798
"1,200",COLORADO SPRINGS CO,38.837515,-104.770409
"1,158","ADAMSVILLE, AL",33.579201,-86.924309
"4,248","CENTERTON, AR LND",36.356292,-94.282751
"5,070",LAS VEGAS (SW2) NV,36.094051,-115.293821
"2,214","COLUMBIA, (E), SC",34.021281,-80.952336
"1,880","COOS BAY, OR",43.389641,-124.252247
"2,057","RINDGE, NH",42.742724,-72.040184
"1,821",CHARLOTTE NC,35.213517,-80.688996
"1,166",ELIZABETHTOWN NC,34.630749,-78.619971
"5,667",SOUTH MILWAUKEE WI,42.927796,-87.862712
